https://code4fukui.github.io/rdf/#rows,https://code4fukui.github.io/rdf/#consonant,https://code4fukui.github.io/rdf/#type_of_trash,https://schema.org/category,https://code4fukui.github.io/rdf/#conditions_of_collection,https://code4fukui.github.io/rdf/#classification
abc,a,aparelho de vídeo-cassete,Caixa coletora específica para eletrodomésticos de pequeno porte(KOGATAKADEN)/Lixo Não-Combustível (MOYASENAI)/Lixos de Grande Porte (SODAI GOMI),"Os eletrodomésticos inferiores a 16x27cm, podem ser descartados nas caixas coletoras de eletrodomésticos de pequeno porte.Coloque o eletrodoméstico em saco de lixo adequado, no tamanho do aparelho para que não rasgue e jogue no lixo não incinerável.Outros tamanhos descarte no ""lixo de grande porte"".",Aparelhos eletricos
def,f,fitas de vídeo,Lixo Combustível (MOYASERU),"As caixas de plástico descarte no ""lixo não combustível"", as caixas de papel descarte no ""lixo de papeis velhos"" para reciclagem.",Aparelhos eletricos
mno,m,mangueira de plástico,Lixo Não-Combustível (MOYASENAI),Encurte-o cortando em comprimentos de aproximadamente 1 metro.,Artigos de uso diario
def,f,folhas de plástico,Lixos de Grande Porte (SODAI GOMI),,Artigos de uso diario
pqrs,s,saco de plástico,Plástico Reciclável (PURA),,Artigos de uso diario
ghi,g,garrafa vidro,Coletado pelo revendedor,"Se estiver quebrado descarte nas ""garrafas vazias"".",Alimentos
jkl,l,lonas de plástico,Lixo Não-Combustível (MOYASENAI),"Corte em comprimentos menores que 1 metro. Se não for cortar, descarte no ""lixo de grande porte"".",Artigos de uso diario
def,f,fita de plástico,Lixo Não-Combustível (MOYASENAI),,Artigos de uso diario
abc,b,braseiro,Lixos de Grande Porte (SODAI GOMI),,Moradia
pqrs,s,saco de fertilizantes,Não Coletado,Consulte o revendedor. Fertilizantes usados na horticultura (somente doméstico) obedeça as instruções do saco.,"Jardinagem,Agricultura"
ghi,g,garrafa (alimentos e bebidas),Garrafas Vazias (AKIBIN),Garrafas de cerveja e de cachaça japonesa (sake) devem ser devolvidas ao revendedor.,Alimentos
ghi,g,garrafa (exceto de alimentos e bebidas),Lixo Não-Combustível (MOYASENAI),Garrafas de perfume e cosméticos.,Artigos de uso diario
pqrs,p,pasta de papel,Coleta de Papeis Velhos,"Retire as partes de metal e descarte no ""lixo não combustível"".",Artigos de uso diario
pqrs,p,pasta de plástico,Lixo Não-Combustível (MOYASENAI),,Artigos de uso diario
def,e,envelope,Coleta de Papeis Velhos,"Os visores de plástio devem ser retirados e descartados no ""lixo não combustível"".",Artigos de uso diario
def,e,envelope (plástico),Lixo Não-Combustível (MOYASENAI),,Artigos de uso diario
pqrs,p,porta deslizante,Lixos de Grande Porte (SODAI GOMI),,Moradia
abc,a,altar budista,Não Coletado,Consulte o revendedor.,Outros
pqrs,p,pincel para escrever,Lixo Combustível (MOYASERU),,Artigos de uso diario
abc,a,acolchoados,Lixos de Grande Porte (SODAI GOMI),,Moradia
pqrs,p,persiana,Lixos de Grande Porte (SODAI GOMI),"Mas, descarte somente depois de cortar ou desmontar em comprimentos menores de 180cm.",Moradia
def,e,escova,Lixo Não-Combustível (MOYASENAI),,Artigos de uso diario
ghi,i,impressoras,Caixa coletora específica para eletrodomésticos de pequeno porte(KOGATAKADEN)/Lixo Não-Combustível (MOYASENAI)/Lixos de Grande Porte (SODAI GOMI),"Os eletrodomésticos inferiores a 16x27cm, podem ser descartados nas caixas coletoras de eletrodomésticos de pequeno porte.Coloque o eletrodoméstico em saco de lixo adequado, no tamanho do aparelho para que não rasgue e jogue no lixo não incinerável.Outros tamanhos descarte no ""lixo de grande porte"".",Aparelhos eletricos
tuv,t,tinta da impressora (vazia),Coletado pelo revendedor,,Aparelhos eletricos
abc,b,banheira aquecida com aquecedor,Não Coletado,Consulte o revendedor.,Moradia
def,d,disquete,Lixo Não-Combustível (MOYASENAI),"As caixas de plástico devem ser descartadas no ""lixo não-combustívell"".",Aparelhos eletricos
abc,b,bloco de concreto,Leve diretamente ao Centro de Limpeza,Somente os de suporte de varal. Somente pequenas quantidades.,Moradia
tuv,t,tampa da banheira,Lixos de Grande Porte (SODAI GOMI),,Moradia
abc,a,artigos de papelaria,Lixo Não-Combustível (MOYASENAI),"Objetos grandes devem ser descartados no ""lixo de grande porte"".",Artigos de uso diario
def,f,fone de ouvido,Caixa coletora específica para eletrodomésticos de pequeno porte(KOGATAKADEN)/Lixo Não-Combustível (MOYASENAI),"Os eletrodomésticos inferiores a 16x27cm, podem ser descartados nas caixas coletoras de eletrodomésticos de pequeno porte ou nos lixos não incineráveis.",Lazer
abc,c,criado-mudo,Lixos de Grande Porte (SODAI GOMI),"Para comprimentos menores que 180cm. Para comprimentos maiores, leve diretamente ao centro de limpeza, tel: 0778-28-1370.",Moradia
ghi,g,garrafas PET,garrafas PET,"Os que possuem o No. 1 na marca da reciclagem. A tampa e o rótulo devem ser descartados no ""lixo de plástico reciclável"".",Alimentos
ghi,g,gaiola para animais de estimação,Lixos de Grande Porte (SODAI GOMI),,Animais
abc,c,comida enlatada para animais de estimação,Latas Vazias (AKIKAN),Esvazie completamente o conteúdo e lave.,Animais
tuv,t,toalete para animais de estimação,Lixos de Grande Porte (SODAI GOMI),"Retire as fezes do interior e jogue-as no ""lixo combustível"".",Animais
abc,a,animal de estimação morto,Leve diretamente ao Centro de Limpeza,É necessário pagar taxa extra.,Animais
abc,c,carrinho para bebê,Lixos de Grande Porte (SODAI GOMI),,Artigos de uso diario
abc,c,capacete,Lixo Não-Combustível (MOYASENAI),,Lazer
pqrs,p,penico,Leve diretamente ao Centro de Limpeza,,Moradia
pqrs,r,roda (carros),Lixos de Grande Porte (SODAI GOMI),Não coletado se estiver com rodas. Leve as rodas ao revendedor.,Veiculos
abc,c,calota da roda,Lixo Não-Combustível (MOYASENAI),,Veiculos
abc,c,caldeira,Leve diretamente ao Centro de Limpeza,"Somente os de uso doméstico. No entanto, se a troca for solicitada a empresa especializada, a mesma deve recolher a caldeira.",Moradia
abc,b,bússola,Lixo Não-Combustível (MOYASENAI),,Lazer
tuv,v,vassoura,Lixo Não-Combustível (MOYASENAI),"As vassouras compridas devem ser descartadas no ""lixo de grande porte"".",Artigos de uso diario
abc,b,bolinho de ácido bórico (veneno para baratas),Lixo Combustível (MOYASERU),,Artigos de uso diario
pqrs,p,papel de embrulho,Coleta de Papeis Velhos,Junte com as revistas e amarre.,Artigos de uso diario
def,f,faca de cozinha,Lixo Não-Combustível (MOYASENAI),Enrole fita adesiva na parte afiada e escreva [ハマノ] no saco de lixo.,Alimentos
pqrs,r,recipiente de repelentes,Lixo Não-Combustível (MOYASENAI),Aqueles de pendurar.,Artigos de uso diario
abc,b,bola de boliche,Leve diretamente ao Centro de Limpeza,,Lazer
abc,b,bacia (cozinha),Lixo Não-Combustível (MOYASENAI),,Alimentos
abc,b,bola,Lixo Não-Combustível (MOYASENAI),Descarte após esvaziar o ar.,Lazer
abc,c,caneta esferográfica,Lixo Não-Combustível (MOYASENAI),,Artigos de uso diario
mno,m,mangueira,Lixo Não-Combustível (MOYASENAI),Descarte após cortar em pedaços de menos de 1 metro de comprimento.,Artigos de uso diario
mno,m,material de aquecimento e resfriamento,Lixo Não-Combustível (MOYASENAI),,Artigos de uso diario
abc,c,cartaz,Coleta de Papeis Velhos,Junte e amarre com as revistas.,Lazer
abc,b,bateria em forma de botão,Coletado pelo revendedor,,Aparelhos eletricos
pqrs,p,pote ou garrafa térmica,Lixo Não-Combustível (MOYASENAI),"Aqueles cujo tamanho caiba no saco de lixo e cujo peso possa ser carregado sem rasgar o saco, podem ser descartadas no ""lixo não-queimável"". Maiores que o tamanho citado, descarte no ""lixo de grande porte"".",Alimentos
ghi,g,galão de plástico (até 20L),Lixo Não-Combustível (MOYASENAI),,Moradia
jkl,l,livros,Coleta de Papeis Velhos,,Lazer
abc,b,bandeja,Lixo Não-Combustível (MOYASENAI),"As bandejas de madeira devem ser descartados no ""lixo combustível"".",Artigos de uso diario
tuv,t,travesseiro,Lixo Não-Combustível (MOYASENAI),"Se o material de enchimento for material combustível (algodão ou casca de trigo sarraceno), descarta-lo no ""lixo combustível"".",Moradia
mno,m,marcador (caneta),Lixo Não-Combustível (MOYASENAI),,Artigos de uso diario
mno,m,máquina de massagem,Caixa coletora específica para eletrodomésticos de pequeno porte(KOGATAKADEN)/Lixo Não-Combustível (MOYASENAI)/Lixos de Grande Porte (SODAI GOMI),"Os eletrodomésticos inferiores a 16x27cm, podem ser descartados nas caixas coletoras de eletrodomésticos de pequeno porte.Coloque o eletrodoméstico em saco de lixo adequado, no tamanho do aparelho para que não rasgue e jogue no lixo não incinerável.Outros tamanhos descarte no ""lixo de grande porte"".",Aparelhos eletricos
abc,c,colchão,Lixos de Grande Porte (SODAI GOMI),Somente aqueles que não possuem molas (metal). Os colchões de molas devem ser levados diretamente ao centro de limpeza.,Moradia
tuv,t,tábua de cozinha,Lixo Não-Combustível (MOYASENAI),"Se for de madeira, descarte no ""lixo combustível"".",Alimentos
ghi,g,garrafa térmica,Lixo Não-Combustível (MOYASENAI),Inclusive garrafas de inóx e de vidro.,Alimentos
def,f,frasco de maionese,Plástico Reciclável (PURA),Descarte após lavar o interior. Proceda da mesma forma com as frascos de maionese.,Alimentos
mno,m,máquina de costura,Caixa coletora específica para eletrodomésticos de pequeno porte(KOGATAKADEN)/Lixo Não-Combustível (MOYASENAI)/Lixos de Grande Porte (SODAI GOMI),"Inclusive máquinas de costura de pedal.Os eletrodomésticos inferiores a 16x27cm, podem ser descartados nas caixas coletoras de eletrodomésticos de pequeno porte.Coloque o eletrodoméstico em saco de lixo adequado, no tamanho do aparelho para que não rasgue e jogue no lixo não incinerável.Outros tamanhos descarte no ""lixo de grande porte"".",Aparelhos eletricos
jkl,l,limpador de ouvidos (mimikaki),Lixo Não-Combustível (MOYASENAI),"Se for de madeira descarte no ""lixo combustível"".",Artigos de uso diario
jkl,l,lupa,Lixo Não-Combustível (MOYASENAI),,Artigos de uso diario
abc,c,cartão de visita,Coleta de Papeis Velhos,"Coloque no envelope, junte com as revistas e amarre.",Outros
mno,o,óculos,Lixo Não-Combustível (MOYASENAI),,Artigos de uso diario
abc,c,cotonete,Lixo Combustível (MOYASERU),,Artigos de uso diario
mno,m,motor,Não Coletado,Leve à empresa de coleta de metais.,Lazer
abc,c,cobertores,Lixos de Grande Porte (SODAI GOMI),,Moradia
tuv,v,vara de varal,Lixos de Grande Porte (SODAI GOMI),Aqueles até 180cm de comprimento.,Moradia
pqrs,p,pedra do varal,Lixos de Grande Porte (SODAI GOMI),"Suportes de concreto de varal devem ser levados diretamente ao centro de limpeza, tel:0778-28-1370.",Moradia
abc,b,bateria Móvel,Lixo Tóxico (YUGAI GOMI),,Aparelhos eletricos
abc,a,argamassa,Leve diretamente ao Centro de Limpeza,"Mas, somente pequenas quantidades. Quando demolido por empresas, solicite à empresa para que dê o devido fim.",Moradia
abc,c,chaleira,Lixo Não-Combustível (MOYASENAI),,Alimentos
pqrs,p,produtos químicos,Não Coletado,Consulte o revendedor.,Outros
abc,a,arame farpado,Leve diretamente ao Centro de Limpeza,,Moradia
abc,b,bolsa de água quente,Lixo Não-Combustível (MOYASENAI),,Artigos de uso diario
wxyz,x,xícara para chá,Lixo Não-Combustível (MOYASENAI),,Alimentos
pqrs,r,roupas,Lixo Combustível (MOYASERU),Corte em pedaços de menos de 1 metro de comprimento.,Roupas
mno,m,machado,Lixos de Grande Porte (SODAI GOMI),"Machados devem ser descartados no ""lixo de grande porte"".","Jardinagem,Agricultura"
abc,a,armadura,Lixos de Grande Porte (SODAI GOMI),,Lazer
ghi,i,isqueiro,Lixo Tóxico (YUGAI GOMI),Use completamente o conteúdo. Proceda da mesma forma com os isqueiros descartáveis.,Lazer
pqrs,r,raquete,Lixo Não-Combustível (MOYASENAI),"As raquetes de madeira devem ser descartados ""lixo combustível"".",Lazer
pqrs,r,rádio,Caixa coletora específica para eletrodomésticos de pequeno porte(KOGATAKADEN)/Lixo Não-Combustível (MOYASENAI)/Lixos de Grande Porte (SODAI GOMI),"Retirar a pilha/bateria.Os eletrodomésticos inferiores a 16x27cm, podem ser descartados nas caixas coletoras de eletrodomésticos de pequeno porte.Coloque o eletrodoméstico em saco de lixo adequado, no tamanho do aparelho para que não rasgue e jogue no lixo não incinerável.Outros tamanhos descarte no ""lixo de grande porte"".",Aparelhos eletricos
def,e,embrulho de presente,Lixo Não-Combustível (MOYASENAI),,Artigos de uso diario
pqrs,r,rolo do filme de PVC,Coleta de Papeis Velhos,"Somente de filmes de uso doméstico. Coloque dentro do saco de papel, junte com as revistas e amarre.",Alimentos
def,f,filme de PVC,Lixo Não-Combustível (MOYASENAI),"Os filmes usados para cobrir carnes e peixes comprados no mercado devem ser lavados e descartados no ""lixo de plástico reciclável"".",Alimentos
abc,b,bolsa da escola (randoseru),Lixo Não-Combustível (MOYASENAI),,Roupas
abc,c,controle remoto,Caixa coletora específica para eletrodomésticos de pequeno porte(KOGATAKADEN)/Lixo Não-Combustível (MOYASENAI),"Retirar a pilha/bateria.Os eletrodomésticos inferiores a 16x27cm, podem ser descartados nas caixas coletoras de eletrodomésticos de pequeno porte ou nos lixos não incineráveis.",Aparelhos eletricos
mno,m,mochila,Lixo Não-Combustível (MOYASENAI),,Roupas
jkl,l,lupa,Lixo Não-Combustível (MOYASENAI),,Artigos de uso diario
pqrs,r,roleta,Lixo Não-Combustível (MOYASENAI)/Lixos de Grande Porte (SODAI GOMI),"Aqueles cujo tamanho caiba no saco de lixo e cujo peso possa ser carregado sem rasgar o saco, podem ser descartadas no ""lixo não-queimável"". Maiores que o tamanho citado, descarte no ""lixo de grande porte"".",Lazer
ghi,g,geladeira (freezer),Coletado pelo revendedor,Leve ao revendedor. É possível solicitar a uma empresa de transporte de resíduos. É necessário pagar taxa de reciclagem.,Aparelhos eletricos
def,d,disco de vinil,Lixo Não-Combustível (MOYASENAI),,Lazer
pqrs,r,recibo da máquina registradora,Lixo Combustível (MOYASERU),,Artigos de uso diario
pqrs,s,saco de compras de plástico,Plástico Reciclável (PURA),,Artigos de uso diario
def,e,embalagem à vácuo de alimentos prontos,Plástico Reciclável (PURA),Descarte após lavar o interior.,Alimentos
tuv,t,tijolos,Leve diretamente ao Centro de Limpeza,"Mas, somente pequenas quantidades.",Moradia
abc,a,armário de metal,Lixos de Grande Porte (SODAI GOMI),"Para comprimentos menores que 180 cm. Maiores, consulte o centro de limpeza, tel: 0778-28-1370.",Moradia
pqrs,p,processador de textos,Caixa coletora específica para eletrodomésticos de pequeno porte(KOGATAKADEN)/Lixo Não-Combustível (MOYASENAI)/Lixos de Grande Porte (SODAI GOMI),"Os eletrodomésticos inferiores a 16x27cm, podem ser descartados nas caixas coletoras de eletrodomésticos de pequeno porte.Coloque o eletrodoméstico em saco de lixo adequado, no tamanho do aparelho para que não rasgue e jogue no lixo não incinerável.Outros tamanhos descarte no ""lixo de grande porte"".",Aparelhos eletricos
def,e,elástico,Lixo Não-Combustível (MOYASENAI),,Artigos de uso diario
